Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.1396 ," Jovanović, Milan "," Studio portrait of actress Zorka Todosić in character as 'Bettina', the mascot in the play 'Maskota' ",Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1396/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1396/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1397 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1887,1890,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1397/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1397/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1398 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1895,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1398/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1398/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1399 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1399/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1399/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.14 ," Karastoyanov, Dimitar Anastasov ", Studio portrait of a man ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1892,1900,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.14/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.14/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.140 ," Karastoyanov, Ivan Anastasov ", Portrait of Anastasia Raykova ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1886,1892,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.140/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.140/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1400 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1400/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1400/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1401 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1401/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1401/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1402 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1402/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1402/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1403 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1403/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1403/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1404 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić in character as 'Marija' ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1404/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1404/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1405 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić in character as 'Marija' ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1405/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1405/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1406 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić with a child ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1887,1890,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1406/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1406/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1407 ," Jovanović, Milan ", Studio portrait of Tona Hadžić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1911,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1407/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1407/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1408 ," Jovanović, Milan ", Studio portrait of Toša Jovanović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1893,1896,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1408/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1408/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1409 ," Jovanović, Milan ", Studio portrait of Marija and Miloš Cvetić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1902,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1409/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1409/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.141 ," Karastoyanov, Ivan Anastasov ", Studio portrait of a man ,Photograph,Not specified,Creative Commons [CC BY-NC-ND 3.0],1888,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.141/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.141/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1410 ," Jovanović, Milan ", Studio portrait of Marija and Miloš Cvetić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1410/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1410/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1411 ," Jovanović, Milan ", Studio portrait of Miloš Cvetić in character as 'Stefan Nemanja' ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1887,1890,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1411/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1411/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1412 ," Jovanović, Milan ", Studio portrait of Miloš Cvetić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1890,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1412/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1412/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1413 ," Jovanović, Milan ", Studio portrait of Marija and Miloš Cvetić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1413/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1413/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1414 ," Jovanović, Milan ", Studio portrait of Toša Anastasijević ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1895,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1414/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1414/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1415 ," Jovanović, Milan ", Studio portrait of Julka Jovanović and A. Maletić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1892,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1415/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1415/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1416 ," Jovanović, Milan ", Studio portrait of Aleksandra ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1906,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1416/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1416/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1417 ," Jovanović, Milan ", Studio portrait of Gavra Miloradović with his wife and daughter ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1893,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1417/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1417/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1418 ," Jovanović, Milan ", Studio portrait of Vela Nigrinova ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1894,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1418/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1418/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1419 ," Jovanović, Milan ", Studio portrait of Stojan Novaković ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1419/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1419/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.142 ," Karastoyanov, Ivan Anastasov ", Studio portrait of Todor Uvaliev ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1888,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.142/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.142/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1420 ," Jovanović, Milan "," Photographic reproduction of a lithograph depicting Mihailo Obrenović III, Prince of Serbia ",Photo reproduction,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1899,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1420/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1420/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1421 ," Jovanović, Milan ", Studio portrait of actor Jevrem Božović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1901,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1421/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1421/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1422 ," Jovanović, Milan ", Studio portrait of actress Aleksandra Bojić ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1909,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1422/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1422/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1423 ," Jovanović, Milan ", Studio portrait of an actor in in character as an Ottoman in the play 'Miloš Obilić' ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1423/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1423/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1424 ," Jovanović, Milan ", Studio portrait of Draga Spasić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1909,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1424/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1424/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1425 ," Jovanović, Milan ", Studio portrait of actor Ljuba Stanojević ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1890,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1425/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1425/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1426 ," Jovanović, Milan ", Studio portrait of Zorka Todosić ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1426/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1426/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1427 ," Jovanović, Milan ", Studio portrait of Savka Miljković ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1902,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1427/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1427/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1428 ," Jovanović, Milan ", Studio portrait of Katarina-Katica Rucović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1902,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1428/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1428/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1429 ," Jovanović, Milan ", Studio portrait of Milorad Petrović ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1893,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1429/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1429/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.143 ," Karastoyanov, Ivan Anastasov ", Studio portrait of Vasil Nikolchev ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1892,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.143/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.143/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1430 ," Jovanović, Milan ", Studio portrait of Milorad Petrović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1901,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1430/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1430/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1431 ," Jovanović, Milan ", Studio portrait of Mileva Tošić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1901,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1431/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1431/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1432 ," Jovanović, Milan ", Studio portrait of writer Stevan Sremac ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1901,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1432/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1432/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1433 ," Jovanović, Milan ", Studio portrait of Vitomir A. Bogić playing 'Hamlet' ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1433/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1433/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1434 ," Jovanović, Milan ", Studio portrait of Branislav Nušić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1900,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1434/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1434/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1435 ," Jovanović, Milan ", Studio portrait of actress Coca ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1907,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1435/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1435/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1436 ," Jovanović, Milan ", Studio portrait of Vela Nigrinova in character as 'Marguerite Gautier' ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1894,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1436/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1436/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1437 ," Jovanović, Milan ", Studio portrait of actor and singer Raja Pavlović in character as 'Knez od Semberije' ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1911,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1437/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1437/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1438 ," Jovanović, Milan ", Studio portrait of Bogdan Popović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1910,, before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1438/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1438/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1439 ," Jovanović, Milan ", Studio portrait of Tona Hadžić ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1903,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1439/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1439/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.144 ," Karastoyanov, Ivan Anastasov ", Studio portrait of Nikola Panov ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1905,1913,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.144/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.144/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1440 ," Jovanović, Milan ", Studio portrait of Zorka Todosić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1895,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1440/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1440/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1441 ," Jovanović, Milan ", Studio portrait of actress Zorka Todosić in character as 'Marija' ,Photograph,Promenade,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1441/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1441/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1442 ," Jovanović, Milan ", Studio portrait of stage actress Zorka Todosić ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1442/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1442/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1443 ," Jovanović, Milan ", Studio portrait of stage actress Danica Nikolić ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,1903,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1443/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1443/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1444 ," Jovanović, Milan ", Studio portrait of a ballerina ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1887,1890,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1444/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1444/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1445 ," Jovanović, Milan "," Studio portrait of Sava Todorović, Milorad Petrović and photographer Milan Jovanović ",Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1900,1902,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1445/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1445/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1446 ," Jovanović, Milan ", Studio portrait of famous Belgrade stage actors ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1893,1896,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1446/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1446/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1447 ," Jovanović, Milan ", Studio portrait of stage actors Velja Miljković and Milorad Gavrilović ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1893,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1447/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1447/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
