Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.1012 ," Stojanović/Karastoyanov, Anastas Nikolov "," Mihailo Obrenović III, Prince of Serbia ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1865,  , after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1012/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1012/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1013 ," Stojanović/Karastoyanov, Anastas Nikolov ", Upper body shot of Todor Popović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1878,  ,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1013/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1013/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1014 ," Stojanović/Karastoyanov, Anastas Nikolov ", Elderly woman holding a child ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,1, https://gams.uni-graz.at/archive/objects/o:vase.1014/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1015 ," Stojanović/Karastoyanov, Anastas Nikolov ", Studio portrait of a woman in a dark dress ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1015/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1015/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1016 ," Stojanović/Karastoyanov, Anastas Nikolov ", Group portrait of four children ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1016/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1016/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1017 ," Stojanović/Karastoyanov, Anastas Nikolov ", Boy in town attire ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,1, https://gams.uni-graz.at/archive/objects/o:vase.1017/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1018 ," Stojanović/Karastoyanov, Anastas Nikolov ", Cadet Lazar Pavlović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,2, https://gams.uni-graz.at/archive/objects/o:vase.1018/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1018/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1019 ," Stojanović/Karastoyanov, Anastas Nikolov ", Studio portrait of a young man ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1880,  , before ,1, https://gams.uni-graz.at/archive/objects/o:vase.1019/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.102 ," Karastoyanov, Dimitar Anastasov ", Funeral service for Lieutenant Nikola Boyadzhiev ,Photograph,Not specified,Creative Commons [CC BY-NC-ND 3.0],1915,  ,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.102/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.102/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1020 ," Stojanović/Karastoyanov, Anastas Nikolov ", Group portrait of two men and a boy ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1865,  , after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1020/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1020/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
